 В-1 МКРН.|СТР.34|САМАРСКАЯ ОБЛ.,ЖИГУЛЕВСК|ПОЛИКЛИНИКА №  2 ЦГБ ЖИГУЛЕВСКОЙ|Поликлиника - взрослая
 ЭНЕРГЕТИКОВ|16|ЧЕЛЯБИНСК|ГКБ № 11 ПОЛИКЛИНИЧЕСКОЕ ОТД.ВРАЧЕЙ ОБЩЕЙ ПРАКТИКИ|Поликлиника - взрослая
<>|12|МО,ПОС.БЕЛЯНАЯ ГОРА|АМБУЛАТОРИЯ ПОС.БЕЛЯНАЯ ГОРА|Амбулатория
<>|21А|НОВОСИБИРСКАЯ ОБЛ.,РП КОЛЬЦОВО|ПОЛИКЛИНИКА ЦРБ №  1 НОВОСИБИРСКОЙ|Поликлиника - взрослая
<>|26А|МО,ЛЮБЕРЦЫ,ПОС.ВУГИ|ГОР.ПОЛИКЛИНИКА №  3|Поликлиника - взрослая
1 МАЯ|1|ОРЕНБУРГСКАЯ ОБЛ.,БУЗУЛУК|ПОЛИКЛИНИКА ПРИ ЦГБ|Поликлиника - взрослая
1 МАЯ|113|МО,ПАВЛОВСКИЙ ПОСАД|ГОР.ПОЛИКЛИНИКА №  1 ОТД.№  1|Поликлиника - взрослая
1 МАЯ|167|КРАСНОДАР|ПОЛИКЛИНИКА КОНСУЛЬТАТИВНАЯ ККБ ИМ.С.В.ОЧАПОВСКОГО|Поликлиника - взрослая
1 МАЯ|167|КРАСНОДАР|ЦЕНТР ПРОФПАТОЛОГИИ ПРИ ККБ ИМ.С.В.ОЧАПОВСКОГО|Медицинский центр - взрослый
1 МАЯ|23|АСТРАХАНСКАЯ ОБЛ.,С.ИКРЯНОЕ|ПОЛИКЛИНИКА РАЙОННАЯ ПРИ ЦРБ|Поликлиника - взрослая
1 МАЯ|51|КАЛУЖСКАЯ ОБЛ.,БОРОВСК|ПОЛИКЛИНИКА ПРИ ЦРБ|Поликлиника - взрослая
10-Я ПАРКОВАЯ УЛ.|-|МОСКВА|ГОР.ПОЛИКЛИНИКА №  5 ФСБ|Поликлиника - взрослая
11-ОЙ КРАСНОЙ АРМИИ|13|АСТРАХАНЬ|ПОЛИКЛИНИКА ПРИ ГКБ №  4 ФИЛИАЛ|Поликлиника - взрослая
12 ДЕКАБРЯ|72|ОМСК|ПОЛИКЛИНИКА ГБ №  9 МУЗ|Поликлиника - взрослая
 ЮЖНОБУТОВСКАЯ|91|МОСКВА|АПТЕЧНЫЙ ПУНКТ 'АНТОНОВКА'|Аптечный пункт
<>|<>|МО,С.ПЕРХУШКОВО|ЦЕНТР НАУЧНЫЙ ВОССТАНОВИТЕЛЬНОЙ МЕДИЦИНЫ И КУРОРТОЛОГИИ|Медицинский центр - взрослый
<>|<>|НОВОСИБИРСКАЯ ОБЛ.,ПГТ КРАСНООБСК|ПОЛИКЛИНИКА ЦРБ|Поликлиника - взрослая
<>|1|ИРКУТСКАЯ ОБЛ.,ПОС.МАРКОВО|АМБУЛАТОРИЯ МАРКОВСКАЯ|Амбулатория
<>|10|ЯРОСЛАВСКАЯ ОБЛ.,ПОС.ЛЕСНАЯ ПОЛЯНА|АМБУЛАТОРИЯ КУЗНЕЧИХИНСКАЯ ФИЛИАЛ №  1|Амбулатория
<>|107|ИЖЕВСК,ПОС.МАШИНОСТРОИТЕЛЕЙ|ПОЛИКЛИНИКА ГКБ №  4 МУЗ|Поликлиника - взрослая
<>|80|МО,Д.ОРЕШКИ|АМБУЛАТОРИЯ Д.ОРЕШКИ|Амбулатория
1 МАЯ|167|КРАСНОДАР|ЦЕНТР АЛЛЕРГОЛОГИЧЕСКИЙ КРАЕВОЙ|Медицинский центр - взрослый
1 МАЯ|37|ЛО,ПОС.ОСЬМИНО|АМБУЛАТОРИЯ ОСЬМИНСКАЯ|Амбулатория
10 ЛЕТ ОКТЯБРЯ|179|ОМСК|ГОР.ПОЛИКЛИНИКА №  2|Поликлиника - взрослая
12А МКРН.|3Д|ИРКУТСКАЯ ОБЛ.,АНГАРСК|КЛИНИКА НИИ МЕДИЦИНЫ ТРУДА И ЭКОЛОКОЛОГИИ ЧЕЛОВЕКА|Поликлиника - взрослая
13-Я ЛИНИЯ|16|САНКТ-ПЕТЕРБУРГ|ГОР.ПОЛИКЛИНИКА №  4|Поликлиника - взрослая
19 ПАРТСЪЕЗДА|44|ЧЕЛЯБИНСКАЯ ОБЛ.,РП ГОРНЯК|ГОР.ПОЛИКЛИНИКА ПРИ ГБ №  4|Поликлиника - взрослая
1-ГО МАЯ|61|ОРЕНБУРГ|ПОЛИКЛИНИКА ПРИ ГОСПИТАЛЕ ВЕТЕРАНОВ ВОЙН|Поликлиника - взрослая
1-Й БОТКИНСКИЙ ПР.|6|МОСКВА|МСЧ № 15|Мед.сан.часть (поликлиника)
1-Й КРАСНОКУРСАНТСКИЙ ПР.|1\5|МОСКВА|ПОЛИКЛИНИКА № 12 МВО РФ ФГУ|Поликлиника - взрослая
1-ОЙ КОННОЙ АРМИИ|2|ПЕСЧАНОКОПСКОЕ С.|ЦРБ ПЕСЧАНОКОПСКОГО Р-НА РО. ПОЛИКЛИНИКА|Поликлиника - взрослая
1-Я АЭРОПОРТОВСКАЯ|5|МОСКВА|ПОЛИКЛИНИКА ЛИТЕРАТУРНОГО ФОНДА ЦЕНТРАЛЬНАЯ ЗАО|Поликлиника - взрослая
1-Я КВЕСИССКАЯ УЛ.|8|МОСКВА|ГОР.ПОЛИКЛИНИКА № 21|Поликлиника - взрослая
1-Я ЛИНИЯ УЛ.|6|РОСТОВ-НА-ДОНУ Г.|ЮОМЦ ФМБА РОССИИ. ПОЛИКЛИНИКА|Поликлиника - взрослая
1-Я МЕЛАНЖЕВАЯ|01.май|ИВАНОВО|ГОР.ПОЛИКЛИНИКА 'СОСНЕВО' СУЗ|Поликлиника - взрослая
1-Я РАДИАТОРСКАЯ|5|МОСКВА|ГОР.ПОЛИКЛИНИКА №136|Поликлиника - взрослая
1-Я ЯМСКОГО ПОЛЯ|24|МОСКВА|МСЧ № 56|Мед.сан.часть (поликлиника)
20 ЛЕТ ПОБЕДЫ|10|ПЕРМСКАЯ ОБЛ.,СОЛИКАМСК|ГОР.ПОЛИКЛИНИКА №  2 ММУ|Поликлиника - взрослая
20 ПАРТСЪЕЗДА|39|ОМСК|АПТЕКА 'ЭКОНОМНАЯ'|Аптека
20-ЛЕТИЯ ОКТЯБРЯ|119|ВОРОНЕЖ|АПТЕКА 'ИП ЧЕРНОВА'|Аптека
20-ЛЕТИЯ ОКТЯБРЯ|86|ВОРОНЕЖ|КЛИНИКА 'МЕДСТАР'|Поликлиника - взрослая
210-Й КВ-Л,НОВОКШЕНОВА|15|ИРКУТСКАЯ ОБЛ.,АНГАРСК|ПОЛИКЛИНИКА №  1 ПРИ МСЧ № 28|Поликлиника - взрослая
25-Й КВ-Л|1|КРАСНОЯРСКИЙ КРАЙ,АЧИНСК|ГОР.ПОЛИКЛИНИКА №  2|Поликлиника - взрослая
26 БАКИНСКИХ КОМИССАРОВ|46|КРАСНОЯРСК|ПОЛИКЛИНИКА №  4 ГКБ №  5 МУЗ|Поликлиника - взрослая
<>|<>|ЛО,Д.АГАЛАТОВО|ГОР.ПОЛИКЛИНИКА №119 ВОЕННАЯ|Поликлиника - взрослая
<>|<>|МО,Д.ОГУДНЕВО|АМБУЛАТОРИЯ|Амбулатория
<>|<>|МО,ПГТ КИЕВСКИЙ|ПОЛИКЛИНИКА УЗЛОВАЯ НА СТ.БЕКАСОВО РЖД НУЗ|Поликлиника - взрослая
<>|26|ЛО,ПГТ ПРИЛАДОЖСКИЙ|АМБУЛАТОРИЯ ВРАЧЕБНАЯ ЦРБ КИРОВСКОЙ|Амбулатория
<>|6|МО,ПОС.КУЗНЕЧИКИ|ПОЛИКЛИНИКА ПРИ РБ КУЗНЕЧИКИ МУЗ|Поликлиника - взрослая
<>|КОРП.4|НОВОСИБИРСКАЯ ОБЛ.,РП КОЛЬЦОВО|МСЧ №163 ФМБА РОССИИ ФГУ|Мед.сан.часть (поликлиника)
1 МАЯ|167|КРАСНОДАР|ЦЕНТР ФУНКЦИОНАЛЬНОЙ ХИРУРГИЧЕСКОЙ ГАСТРОЭНТЕРОЛОГИИ|Медицинский центр - взрослый
1 МАЯ|47А|МО,ПОС.ВОСТРЯКОВО|АПТЕЧНЫЙ ПУНКТ 'ОРИОН'|Аптека
10 ЛЕТ ОКТЯБРЯ|180/1|ОМСК|ЗДРАВ.ПУНКТ 'ТРАНССИБНЕФТЬ' ОАО|Здравпункт
10 ЛЕТ ОКТЯБРЯ УЛ.|9|МОСКВА|ЦЕНТР ФЛЕБОЛОГИИ ОПЕР. БЛОК|Медицинский центр - взрослый
100 ЛЕТ ВЛАДИВОСТОКУ ПР-КТ, 50|-|ВЛАДИВОСТОК Г|МЦ ПРИМА-МЕД|Мед.центр взр.
121-ОЙ СТРЕЛКОВОЙ ДИВИЗИИ|16|ВОРОНЕЖ|ГОР.ПОЛИКЛИНИКА №  8 ФИЛИАЛ-ОФИС ВРАЧЕЙ ОБЩЕЙ ПРАКТИКИ|Поликлиника - взрослая
1905 ГОДА|17|МОСКВА|ГОР.ПОЛИКЛИНИКА ДСК-1 ЗАО|Поликлиника - взрослая
1-Й ЗАВОДСКОЙ ПЕР.|4|БЕЛГОРОД|ГОР.ПОЛИКЛИНИКА № 64 ВОЕННАЯ|Поликлиника - взрослая
1-Й ЗАЧАТЬЕВСКИЙ ПЕР.|42005|МОСКВА|ГОР.ПОЛИКЛИНИКА №171|Поликлиника - взрослая
1-Й СТАНЦИОННЫЙ ПР.|7|САРАТОВ|ПОЛИКЛИНИКА КБ ДОРОЖНОЙ НА СТ.САРАТОВ-2|Поликлиника - взрослая
1-Я ВОЛЬСКАЯ|3 К.1|МОСКВА,ПОС.НЕКРАСОВКА|ПОЛИКЛИНИКА ПРИ ГБ № 10|Поликлиника - взрослая
1-Я КРАСНОАРМЕЙСКАЯ|1|ИРКУТСК|КЛИНИКА ЧЕЛЮСТНО-ЛИЦЕВОЙ ХИРУРГИИ ГМУ|Поликлиника - взрослая
1-Я НАПРУДНАЯ УЛ.|15|МОСКВА|ГОР.ПОЛИКЛИНИКА №120|Поликлиника - взрослая
<>|-|ВОЛГОГРАДСКАЯ ОБЛ.,ПОС.ОКТЯБРЬСКИЙ|ГОР.ПОЛИКЛИНИКА № 76 МИНИСТЕРСТВА ОБОРОНЫ РФ|Поликлиника - взрослая
<>|<>|МО,ПОС.СЕЛЯТИНО|ПОЛИКЛИНИКА ЦРБ №  5|Поликлиника - взрослая
<>|<>|МО,С.ПЕТРОВО-ДАЛЬНЕЕ|ПОЛИКЛИНИКА ПРИ БОЛЬНИЦЕ УЧАСТКОВОЙ|Поликлиника - взрослая
<>|<>|ПЕРМСКАЯ ОБЛ.,С.ГАМОВО|ПОЛИКЛИНИКА ПРИ ЦРБ ПЕРМСКОГО Р-НА|Поликлиника - взрослая
<>|<>|ТУЛА,ПОС.ЗАПАДНЫЙ 2-Й|ПОЛИКЛИНИКА ГБ №  3|Поликлиника - взрослая
<>|16|КОСТРОМА,ПОС.НОВЫЙ|ЦЕНТР ПУЛЬМОНОЛОГИЧЕСКИЙ ОКРУЖНОЙ БОЛЬНИЦЫ КОСТРОМСКОГО ОКРУГА №1|Медицинский центр - взрослый
<>|25|МО,С.НИКОЛЬСКОЕ|АМБУЛАТОРИЯ С.НИКОЛЬСКОЕ|Амбулатория
